code|surfacearea|indepyear|population|lifeexpectancy|gnp|gnpold|localname|governmentform|headofstate|capital|code2
GEO|69700|1991|4968000|64.5|6064.00|5924.00|Sakartvelo|Republic|Eduard evardnadze|905|GE
COD|2.34486e+06|1960|51654000|48.8|6964.00|2474.00|République Démocratique du Congo|Republic|Joseph Kabila|2298|CD
CCK|14||600||0.00||Cocos (Keeling) Islands|Territory of Australia|Elisabeth II|2317|CC
PRK|120538|1948|24039000|70.7|5332.00||Choson Minjujuui In´min Konghwaguk (Bukhan)|Socialistic Republic|Kim Jong-il|2318|KP
KOR|99434|1948|46844000|74.4|320749.00|442544.00|Taehan Minguk (Namhan)|Republic|Kim Dae-jung|2331|KR
GRC|131626|1830|10545700|78.4|120724.00|119946.00|Elláda|Republic|Kostis Stefanopoulos|2401|GR
HRV|56538|1991|4473000|73.7|20208.00|19300.00|Hrvatska|Republic|tipe Mesic|2409|HR
CUB|110861|1902|11201000|76.2|17843.00|18862.00|Cuba|Socialistic Republic|Fidel Castro Ruz|2413|CU
KWT|17818|1961|1972000|76.1|27037.00|30373.00|Al-Kuwayt|Constitutional Monarchy (Emirate)|Jabir al-Ahmad al-Jabir al-Sabah|2429|KW
CYP|9251|1960|754700|76.7|9333.00|8246.00|Kýpros/Kibris|Republic|Glafkos Klerides|2430|CY
LAO|236800|1953|5433000|53.1|1292.00|1746.00|Lao|Republic|Khamtay Siphandone|2432|LA
LVA|64589|1991|2424200|68.4|6398.00|5639.00|Latvija|Republic|Vaira Vike-Freiberga|2434|LV
LSO|30355|1966|2153000|50.8|1061.00|1161.00|Lesotho|Constitutional Monarchy|Letsie III|2437|LS
LBN|10400|1941|3282000|71.3|17121.00|15129.00|Lubnan|Republic|Émile Lahoud|2438|LB
LBR|111369|1847|3154000|51|2012.00||Liberia|Republic|Charles Taylor|2440|LR
LBY|1.75954e+06|1951|5605000|75.5|44806.00|40562.00|Libiya|Socialistic State|Muammar al-Qadhafi|2441|LY
LIE|160|1806|32300|78.8|1119.00|1084.00|Liechtenstein|Constitutional Monarchy|Hans-Adam II|2446|LI
LTU|65301|1991|3698500|69.1|10692.00|9585.00|Lietuva|Republic|Valdas Adamkus|2447|LT
LUX|2586|1867|435700|77.1|16321.00|15519.00|Luxembourg/Lëtzebuerg|Constitutional Monarchy|Henri|2452|LU
ESH|266000||293000|49.8|60.00||As-Sahrawiya|Occupied by Marocco|Mohammed Abdel Aziz|2453|EH
MAC|18||473000|81.6|5749.00|5940.00|Macau/Aomen|Special Administrative Region of China|Jiang Zemin|2454|MO
MDG|587041|1960|15942000|55|3750.00|3545.00|Madagasikara/Madagascar|Federal Republic|Didier Ratsiraka|2455|MG
MKD|25713|1991|2024000|73.8|1694.00|1915.00|Makedonija|Republic|Boris Trajkovski|2460|MK
MWI|118484|1964|10925000|37.6|1687.00|2527.00|Malawi|Republic|Bakili Muluzi|2462|MW
MDV|298|1965|286000|62.2|199.00||Dhivehi Raajje/Maldives|Republic|Maumoon Abdul Gayoom|2463|MV
MYS|329758|1957|22244000|70.8|69213.00|97884.00|Malaysia|Constitutional Monarchy, Federation|Salahuddin Abdul Aziz Shah Alhaj|2464|MY
MLI|1.24019e+06|1960|11234000|46.7|2642.00|2453.00|Mali|Republic|Alpha Oumar Konaré|2482|ML
MLT|316|1964|380200|77.9|3512.00|3338.00|Malta|Republic|Guido de Marco|2484|MT
MAR|446550|1956|28351000|69.1|36124.00|33514.00|Al-Maghrib|Constitutional Monarchy|Mohammed VI|2486|MA
MHL|181|1990|64000|65.5|97.00||Marshall Islands/Majol|Republic|Kessai Note|2507|MH
MTQ|1102||395000|78.3|2731.00|2559.00|Martinique|Overseas Department of France|Jacques Chirac|2508|MQ
MRT|1.02552e+06|1960|2670000|50.8|998.00|1081.00|Muritaniya/Mauritanie|Republic|Maaouiya Ould Sid´Ahmad Taya|2509|MR
MUS|2040|1968|1158000|71|4251.00|4186.00|Mauritius|Republic|Cassam Uteem|2511|MU
MYT|373||149000|59.5|0.00||Mayotte|Territorial Collectivity of France|Jacques Chirac|2514|YT
MEX|1.9582e+06|1810|98881000|71.5|414972.00|401461.00|México|Federal Republic|Vicente Fox Quesada|2515|MX
FSM|702|1990|119000|68.6|212.00||Micronesia|Federal Republic|Leo A. Falcam|2689|FM
MDA|33851|1991|4380000|64.5|1579.00|1872.00|Moldova|Republic|Vladimir Voronin|2690|MD
